from-to,score,userA_id,userB_id,has_common_skills,n_common_skills,has_common_schools,n_common_schools,has_common_industry,n_common_industry,has_common_company,n_common_company
4769697-6308211,3.0,4769697,6308211,0,-1,0,-1,0,0,0,0
2227465-17278,3.0,2227465,17278,0,-1,0,0,1,1,0,0
31105-531,2.0,31105,531,0,-1,0,-1,1,1,0,0
24072-1012437,0.0,24072,1012437,1,1,1,-2,1,1,0,0
829489-49256,2.0,829489,49256,1,5,0,0,1,1,0,0
323745-6333459,2.0,323745,6333459,0,-1,0,0,1,1,1,-2
6286547-6323013,3.0,6286547,6323013,0,0,0,-1,0,0,1,-2
235193-1059113,3.0,235193,1059113,1,4,1,-2,1,1,1,-2
374518-451283,3.0,374518,451283,0,-1,0,0,1,1,1,-2
6272185-1292849,2.0,6272185,1292849,1,3,0,-1,1,1,1,-2
4905771-2860929,3.0,4905771,2860929,1,1,1,-2,1,1,1,-2
6331629-24357,1.0,6331629,24357,0,-1,0,0,0,0,0,0
9771-15311,2.0,9771,15311,0,-1,1,-2,1,1,0,0
1105309-48939,1.0,1105309,48939,0,-1,1,-2,1,3,1,-2
6275681-6273447,3.0,6275681,6273447,0,0,1,-2,1,1,1,-2
4825213-3421367,3.0,4825213,3421367,0,0,0,0,1,1,0,0
6287647-10161,1.0,6287647,10161,0,0,0,0,0,0,1,-2
6294950-6273407,1.0,6294950,6273407,0,-1,0,0,0,0,0,0
6306801-1166166,0.0,6306801,1166166,1,1,0,0,1,1,0,0
6296449-227652,0.0,6296449,227652,0,0,1,-2,0,0,1,-2
1223124-53240,2.0,1223124,53240,1,1,0,-1,1,2,0,0
6191960-1740250,1.0,6191960,1740250,0,-1,0,0,0,0,0,0
6305634-6275569,3.0,6305634,6275569,1,1,1,-2,1,1,0,0
1255025-22625,2.0,1255025,22625,0,-1,0,0,1,1,0,0
6271158-1663765,1.0,6271158,1663765,0,-1,0,-1,1,1,1,-2
6290353-208556,0.0,6290353,208556,1,1,0,0,1,1,1,-2
6334352-6298414,2.0,6334352,6298414,1,-2,0,0,0,0,1,-2
1292945-6325769,1.0,1292945,6325769,0,0,1,-2,1,1,1,-2
6276807-3002292,2.0,6276807,3002292,0,0,0,0,0,0,1,-2
2239394-88087,1.0,2239394,88087,1,5,0,0,0,0,0,0
6237261-51672,0.0,6237261,51672,1,1,1,-2,1,1,1,-2
6282994-6337811,2.0,6282994,6337811,0,0,1,-2,0,0,0,0
229471-743143,2.0,229471,743143,0,0,0,-1,1,1,0,0
495071-153867,1.0,495071,153867,0,0,1,-2,1,2,1,-2
103820-20598,2.0,103820,20598,0,0,0,0,1,1,0,0
6327460-26994,0.0,6327460,26994,0,-1,0,0,0,0,1,-2
36503-17278,1.0,36503,17278,0,-1,0,-1,1,1,0,0
6279894-6272377,1.0,6279894,6272377,0,-1,0,-1,1,1,1,-2
22057-25076,1.0,22057,25076,1,1,0,0,1,1,1,-2
6299130-6300620,3.0,6299130,6300620,0,-1,0,0,1,1,1,-2
2376893-48197,1.0,2376893,48197,1,2,0,0,1,1,1,-2
