user_id,age
0,4.0
151,33.0
41,36.0
51,41.0
19670,30.0
25822,29.0
5371,36.0
25299,28.0
2811,39.0
1,37.0
17332,
941,30.0
1411,44.0
11081,39.0
22870,
720821,34.0
17409,37.0
1112998,38.0
341,35.0
593984,40.0
4111,30.0
17179,
28717,31.0
20414,
261,37.0
17680,27.0
23251,35.0
18187,42.0
6611,34.0
22730,35.0
11551,40.0
19478,33.0
191,35.0
34674,49.0
228216,47.0
5128567,37.0
2371,38.0
17797,35.0
21973,45.0
19732,40.0
321,36.0
17226,44.0
16871,29.0
16341,
27248,34.0
24723,
1991,35.0
10621,44.0
30611,38.0
30194,32.0
18321,32.0
2801,38.0
17501,
11181,31.0
1891,48.0
21511,35.0
19602,36.0
21904,36.0
73226,40.0
15431,106.0
21,36.0
11,36.0
17174,37.0
17832,49.0
931,43.0
18001,32.0
42037,34.0
17511,41.0
22480,38.0
23356,31.0
8361,32.0
17229,40.0
23190,33.0
2871,39.0
6401,32.0
26768,32.0
5101,48.0
17723,45.0
17655,33.0
30589,35.0
20755,35.0
28155,37.0
18327,42.0
22574,45.0
84121,37.0
3271,44.0
25922,45.0
17553,43.0
89103,45.0
2421,46.0
4581,45.0
18259,40.0
2491,39.0
17434,36.0
25136,48.0
18267,39.0
11571,45.0
2791,35.0
17397,36.0
48562,41.0
24648,29.0
18276,42.0
3021,47.0
2373698,38.0
225525,
23198,29.0
19291,48.0
861776,41.0
27063,45.0
17248,29.0
6206816,
6421,
17378,39.0
17639,34.0
18973,30.0
19201,36.0
1181,44.0
26005,48.0
20065,41.0
91528,39.0
17944,41.0
2891,55.0
6631,42.0
17278,
51069,31.0
22301,37.0
21106,32.0
33861,37.0
23177,42.0
4511,44.0
20145,31.0
2631,33.0
681,46.0
19491,34.0
18427,32.0
8891,31.0
22337,37.0
27657,44.0
1201,40.0
18856,37.0
12011,38.0
23397,
17637,35.0
30550,36.0
22057,35.0
19707,37.0
1931,35.0
21323,35.0
18503,
561,32.0
35476,54.0
21781,
7571,35.0
18149,31.0
17458,45.0
50812,40.0
5353662,
24050,39.0
6591,34.0
16191,37.0
27705,39.0
241,34.0
531,44.0
18139,39.0
10861,38.0
961,46.0
17122,35.0
14321,35.0
50085,35.0
40634,34.0
774903,45.0
10701,37.0
21998,
4878112,35.0
25790,32.0
37784,41.0
9231,39.0
18462,35.0
10671,28.0
1741,36.0
2481,31.0
23747,37.0
