user_id,purpose_id_1,purpose_id_2,purpose_id_3,purpose_id_4,purpose_id_5,purpose_id_6,purpose_id_7,purpose_id_8,purpose_id_9,purpose_id_10,purpose_id_11,purpose_id_12,purpose_id_13,purpose_id_14,purpose_id_15
1,1,1,1,1,1,1,1,0,0,1,0,1,0,0,0
21,1,1,0,0,1,0,1,0,1,0,0,0,0,0,1
41,0,0,1,1,1,0,1,0,1,0,0,0,0,0,0
51,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1
151,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1
191,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
211,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0
261,1,0,0,1,1,1,0,0,0,0,0,0,1,0,0
281,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0
311,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1
321,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
331,1,1,0,1,1,1,0,1,1,0,0,1,0,0,1
341,1,1,0,1,1,1,1,1,1,0,1,1,1,0,1
381,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
391,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
461,1,1,0,1,1,1,0,1,0,0,0,1,0,1,0
501,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0
531,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
561,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
611,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0
651,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1
681,0,1,0,0,1,1,1,0,0,0,0,0,1,0,0
701,1,1,0,1,1,0,1,0,0,0,0,0,0,0,0
771,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0
791,1,0,1,1,1,0,0,0,0,0,0,1,1,0,0
941,1,1,0,1,1,1,1,0,1,1,0,0,1,0,1
981,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1081,1,1,0,1,1,0,0,1,0,0,0,1,0,0,0
1111,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0
1181,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
1191,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0
1261,1,1,0,1,1,1,1,0,1,0,1,1,0,0,0
1271,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1
1291,1,1,0,1,1,1,1,0,1,0,0,1,1,0,1
1381,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0
1411,1,1,0,1,1,1,1,0,1,1,0,1,1,0,0
1481,1,1,0,1,1,0,0,0,1,0,1,1,0,0,1
1551,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0
1581,1,1,0,0,1,0,0,0,0,0,0,0,0,1,1
1601,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1681,1,1,0,1,1,0,1,0,1,0,0,0,1,0,1
1711,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
1731,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
1741,0,1,1,1,1,1,1,1,1,1,0,1,0,0,0
1801,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0
1881,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
