user_id,strength_id_1,strength_id_2,strength_id_3,strength_id_4,strength_id_5,strength_id_6,strength_id_7,strength_id_8
1,8,5,2,17,9,12,3,8
41,1,2,1,1,1,1,1,1
51,0,0,1,2,0,0,0,2
151,5,2,0,7,1,2,1,4
161,0,0,1,1,0,1,0,0
211,1,0,0,1,0,0,0,1
311,0,0,1,1,0,1,0,2
331,1,1,0,1,0,0,0,1
501,1,0,0,1,0,1,0,0
531,1,0,0,2,1,1,1,2
611,1,1,0,1,0,2,0,1
651,0,0,0,1,0,1,0,0
771,1,0,0,1,1,0,0,1
941,4,2,1,3,4,2,1,2
981,3,0,2,3,0,1,1,2
1261,0,0,0,1,0,0,1,1
1381,2,0,1,0,1,0,2,0
1481,0,0,0,1,0,0,0,0
1881,4,3,4,8,5,2,5,8
2021,1,1,1,1,1,1,1,1
2311,1,0,0,1,0,1,1,1
2341,6,5,5,8,8,7,4,10
2451,2,0,0,2,0,1,0,2
2791,8,2,4,12,8,1,2,10
2851,0,0,1,2,1,1,0,0
2871,0,0,0,2,0,2,0,1
3591,1,1,0,4,2,0,0,3
3971,0,0,0,1,1,0,0,1
4521,3,0,0,2,2,3,1,2
4551,0,0,0,1,0,0,0,1
4911,3,0,1,4,1,4,2,4
5181,0,1,0,2,0,0,2,1
5511,4,2,3,6,5,1,2,4
6011,1,0,0,1,0,0,0,1
6031,2,1,1,5,1,4,0,6
6131,3,2,1,1,0,2,0,2
6271,12,1,4,10,7,12,1,2
6281,0,0,0,1,0,1,0,1
6631,1,0,0,1,1,0,1,0
6681,1,0,1,1,2,0,0,0
7381,2,0,0,1,1,2,0,0
7741,4,3,6,8,4,6,5,7
8141,5,1,0,6,6,0,2,6
8181,2,0,0,1,1,1,0,1
8301,0,0,0,2,1,0,1,0
8651,1,1,1,5,4,3,1,5
8861,2,3,1,3,4,3,1,2
9111,1,0,0,1,0,0,0,1
9171,0,0,1,4,2,3,1,3
9671,1,1,1,1,1,1,1,1
10121,0,0,0,1,0,0,0,0
10161,0,0,0,1,0,0,0,1
10191,3,0,1,3,0,2,0,2
10861,3,1,0,3,2,2,2,4
11031,0,0,0,1,0,1,0,0
11041,0,0,0,1,1,0,0,1
11721,3,0,1,3,2,1,1,3
11771,3,2,7,15,10,2,2,14
11811,4,2,0,4,0,2,0,1
11991,1,0,1,0,0,1,0,0
12601,1,0,0,1,0,0,0,1
13761,1,0,0,0,0,1,1,0
14211,2,0,0,3,0,1,1,1
14761,0,0,0,1,0,1,1,0
14851,2,1,1,2,2,1,1,2
15261,1,1,1,0,1,0,0,0
15551,2,2,3,7,3,3,1,11
15661,0,0,0,0,0,1,0,0
16031,0,1,0,1,0,1,0,1
16331,1,0,0,0,0,0,0,0
16871,1,0,0,1,1,1,0,1
17081,0,1,0,2,3,1,1,2
17168,2,0,1,2,1,2,1,1
17174,0,0,0,1,0,1,0,1
17205,1,0,0,2,0,1,0,2
17278,2,0,1,3,2,0,0,1
17280,0,0,0,1,0,0,0,1
17399,1,0,0,0,0,1,0,0
17410,0,0,0,1,0,1,0,1
17413,6,2,1,4,6,1,1,6
17466,0,1,0,1,0,0,0,1
17469,0,1,0,3,0,0,1,2
17489,0,0,0,1,0,0,0,1
17524,0,1,0,1,0,0,0,0
17527,2,2,0,4,0,0,0,2
17528,0,0,0,1,0,0,0,1
17597,1,0,0,1,0,0,0,1
17603,0,2,0,4,3,0,1,2
17613,1,0,0,0,1,0,0,1
17621,3,1,3,4,1,1,2,3
17656,2,1,1,2,0,0,1,2
17665,2,0,0,1,1,2,0,1
17707,0,0,0,1,0,1,0,1
17738,1,1,1,1,1,1,1,1
17740,0,0,1,1,0,1,0,0
17775,1,1,0,1,3,2,1,1
17822,1,0,1,2,3,1,0,1
18022,1,1,1,1,1,0,1,1
18049,1,0,0,1,0,0,0,1
18120,2,1,0,4,0,4,1,3
18124,2,0,1,4,0,4,0,4
18144,0,3,1,2,2,1,0,1
18172,0,0,0,1,1,0,0,1
18187,0,2,2,1,1,0,1,2
18223,1,1,1,2,0,0,1,1
18276,1,1,4,4,1,1,1,5
18320,2,0,1,2,0,1,0,1
18351,0,0,0,0,0,1,1,2
18360,0,1,2,2,1,1,0,2
18413,1,0,1,0,0,0,0,0
18420,5,0,0,3,2,3,0,2
18489,2,0,1,1,2,1,2,2
18493,1,1,1,0,0,1,1,0
18515,1,0,1,1,1,1,1,1
18570,0,1,1,3,0,2,1,1
18653,1,0,0,1,0,0,0,0
18699,0,0,1,2,1,2,0,2
18827,2,0,3,1,1,3,1,2
18894,2,1,1,1,0,1,0,1
18955,1,1,0,1,0,0,0,0
19085,5,1,1,5,3,5,0,5
19103,0,0,1,0,1,0,0,0
19124,3,1,1,3,1,2,1,1
19148,1,0,0,1,0,1,1,1
19289,1,0,0,2,0,1,0,2
19311,1,0,0,1,0,1,0,0
19357,1,1,1,3,2,4,1,4
19415,7,0,2,5,3,7,0,3
19602,0,0,0,1,0,1,1,1
19607,1,0,0,1,2,0,0,1
19740,1,2,0,2,0,0,1,0
19895,0,0,0,0,1,0,0,0
19955,2,1,2,3,3,1,2,4
19998,0,0,1,0,1,0,0,1
20091,0,0,0,0,1,1,0,0
20156,1,0,0,1,0,1,0,0
20421,0,0,0,1,0,1,0,1
20532,1,0,0,1,0,2,0,1
20541,1,0,0,1,0,0,0,1
20598,0,0,0,1,1,0,1,0
20603,0,0,0,1,0,0,0,1
20755,0,0,0,1,0,0,0,1
20958,1,0,0,1,0,0,1,1
20987,0,0,2,2,0,2,1,0
21009,3,2,1,3,2,1,2,3
21039,1,1,0,3,3,0,2,4
21120,0,0,0,1,0,0,1,0
21123,1,0,0,1,0,0,0,0
21164,1,0,0,1,1,1,0,1
21276,1,1,0,0,0,1,0,0
